census_key,FIPS,Tract,Block,Tract_block
33.818000000000005_-84.366,131210094021009.00,'009402','1009','009402':'1009'
33.806_-84.366,131210001003010.00,'000100','3010','000100':'3010'
33.817_-84.366,131210092001005.00,'009200','1005','009200':'1005'
33.718_-84.366,131210069003007.00,'006900','3007','006900':'3007'
33.760999999999996_-84.366,131210029001001.00,'002900','1001','002900':'1001'
33.811_-84.366,131210092003032.00,'009200','3032','009200':'3032'
33.853_-84.366,131210100023017.00,'010002','3017','010002':'3017'
33.738_-84.366,131210050001044.00,'005000','1044','005000':'1044'
33.812_-84.366,131210092003028.00,'009200','3028','009200':'3028'
33.751999999999995_-84.366,131210032001004.00,'003200','1004','003200':'1004'
33.821_-84.366,131210094022018.00,'009402','2018','009402':'2018'
33.736999999999995_-84.366,131210050001048.00,'005000','1048','005000':'1048'
33.781_-84.366,131210014002003.00,'001400','2003','001400':'2003'
33.821999999999996_-84.366,131210094022018.00,'009402','2018','009402':'2018'
33.826_-84.366,131210094033016.00,'009403','3016','009403':'3016'
